"FileTitle","MetadataTitle","Extension","MB","Duration","Directory","FullName","LastWriteTime"
"d22a472f87f05ab6e4e8019dbd2e0056_raw","",".mp4","519.89","","E:\ASUS-KL\Documents\xwechat_files\wxid_8g0c5l0t215q22_9144\msg\video\2026-02","E:\ASUS-KL\Documents\xwechat_files\wxid_8g0c5l0t215q22_9144\msg\video\2026-02\d22a472f87f05ab6e4e8019dbd2e0056_raw.mp4","2026/2/28 13:42:54"
"e132fe3c2ab938a8ce5f9241d59d514a_raw","",".mp4","510.29","","E:\ASUS-KL\Documents\xwechat_files\wxid_8g0c5l0t215q22_9144\msg\video\2026-02","E:\ASUS-KL\Documents\xwechat_files\wxid_8g0c5l0t215q22_9144\msg\video\2026-02\e132fe3c2ab938a8ce5f9241d59d514a_raw.mp4","2026/2/2 21:10:59"
"1 (13)","",".mkv","442.67","","E:\ASUS-KL\视频&音频\1618MYGO","E:\ASUS-KL\视频&音频\1618MYGO\1 (13).mkv","2024/12/24 13:18:32"
"1 (12)","",".mkv","412.29","","E:\ASUS-KL\视频&音频\1618MYGO","E:\ASUS-KL\视频&音频\1618MYGO\1 (12).mkv","2024/12/24 13:18:34"
"屏幕录制 2025-06-28 184203","",".mp4","398.85","00:06:16","D:\屏幕录制","D:\屏幕录制\屏幕录制 2025-06-28 184203.mp4","2025/6/28 18:42:03"
"1 (2)","",".mkv","384.59","","E:\ASUS-KL\视频&音频\1618MYGO","E:\ASUS-KL\视频&音频\1618MYGO\1 (2).mkv","2024/12/24 13:14:34"
"1 (3)","",".mkv","372.12","","E:\ASUS-KL\视频&音频\1618MYGO","E:\ASUS-KL\视频&音频\1618MYGO\1 (3).mkv","2024/12/24 13:15:31"
"$RHSEHEL","",".mp4","359.59","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$RHSEHEL.mp4","2026/2/3 8:50:54"
"屏幕录制 2025-01-09 161258","",".mp4","334.86","00:05:16","D:\屏幕录制","D:\屏幕录制\屏幕录制 2025-01-09 161258.mp4","2025/1/9 16:12:58"
"屏幕录制 2025-06-28 191427","",".mp4","321.24","00:05:02","D:\屏幕录制","D:\屏幕录制\屏幕录制 2025-06-28 191427.mp4","2025/6/28 19:14:27"
"屏幕录制 2026-03-04 181853","",".mp4","321.23","00:05:02","D:\屏幕录制","D:\屏幕录制\屏幕录制 2026-03-04 181853.mp4","2026/3/4 18:18:53"
"1 (6)","",".mkv","311.86","","E:\ASUS-KL\视频&音频\1618MYGO","E:\ASUS-KL\视频&音频\1618MYGO\1 (6).mkv","2024/12/24 13:16:13"
"1 (7)","",".mkv","310.33","","E:\ASUS-KL\视频&音频\1618MYGO","E:\ASUS-KL\视频&音频\1618MYGO\1 (7).mkv","2024/12/24 13:17:05"
"1 (5)","",".mkv","300.25","","E:\ASUS-KL\视频&音频\1618MYGO","E:\ASUS-KL\视频&音频\1618MYGO\1 (5).mkv","2024/12/24 13:14:28"
"$RI4W8Y5","",".mp4","297.66","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$RI4W8Y5.mp4","2026/3/15 9:18:50"
"1 (1)","",".mkv","297.23","","E:\ASUS-KL\视频&音频\1618MYGO","E:\ASUS-KL\视频&音频\1618MYGO\1 (1).mkv","2024/12/24 13:14:47"
"屏幕录制 2026-03-04 181151","",".mp4","296.67","00:04:39","D:\屏幕录制","D:\屏幕录制\屏幕录制 2026-03-04 181151.mp4","2026/3/4 18:11:51"
"1 (9)","",".mkv","295.36","","E:\ASUS-KL\视频&音频\1618MYGO","E:\ASUS-KL\视频&音频\1618MYGO\1 (9).mkv","2024/12/24 13:18:06"
"VID_20241023_110444","",".mp4","291.07","","E:\ASUS-KL\Documents\Tencent Files\1915791855\1915791855\FileRecv\MobileFile","E:\ASUS-KL\Documents\Tencent Files\1915791855\1915791855\FileRecv\MobileFile\VID_20241023_110444.mp4","2024/10/24 14:45:30"
"VID_20241023_110444","",".mp4","291.07","","E:\ASUS-KL\Documents\Tencent Files\1915791855\FileRecv\MobileFile","E:\ASUS-KL\Documents\Tencent Files\1915791855\FileRecv\MobileFile\VID_20241023_110444.mp4","2024/10/24 14:45:30"
"1 (4)","",".mkv","287.4","","E:\ASUS-KL\视频&音频\1618MYGO","E:\ASUS-KL\视频&音频\1618MYGO\1 (4).mkv","2024/12/24 13:14:16"
"1 (8)","",".mkv","279","","E:\ASUS-KL\视频&音频\1618MYGO","E:\ASUS-KL\视频&音频\1618MYGO\1 (8).mkv","2024/12/24 13:18:07"
"Music","",".avi","267.71","00:01:14","C:\Users\Public\Documents\Adobe\Premiere Pro\22.0\Tutorial\Going Home project","C:\Users\Public\Documents\Adobe\Premiere Pro\22.0\Tutorial\Going Home project\Music.avi","2023/4/7 22:25:25"
"1 (11)","",".mkv","266.01","","E:\ASUS-KL\视频&音频\1618MYGO","E:\ASUS-KL\视频&音频\1618MYGO\1 (11).mkv","2024/12/24 13:18:20"
"屏幕录制 2024-06-28 142913","",".mp4","259.61","00:07:27","D:\屏幕录制","D:\屏幕录制\屏幕录制 2024-06-28 142913.mp4","2024/6/28 14:29:13"
"$RDRO4B5","",".mp4","256.41","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$RDRO4B5.mp4","2026/2/11 20:56:06"
"VID_20241023_111802","",".mp4","255.23","","E:\ASUS-KL\Documents\Tencent Files\1915791855\FileRecv\MobileFile","E:\ASUS-KL\Documents\Tencent Files\1915791855\FileRecv\MobileFile\VID_20241023_111802.mp4","2024/10/24 14:43:04"
"VID_20241023_111802(1)","",".mp4","255.23","","E:\ASUS-KL\Documents\Tencent Files\1915791855\FileRecv\MobileFile","E:\ASUS-KL\Documents\Tencent Files\1915791855\FileRecv\MobileFile\VID_20241023_111802(1).mp4","2024/10/24 14:45:08"
"VID_20241023_111802(1)","",".mp4","255.23","","E:\ASUS-KL\Documents\Tencent Files\1915791855\1915791855\FileRecv\MobileFile","E:\ASUS-KL\Documents\Tencent Files\1915791855\1915791855\FileRecv\MobileFile\VID_20241023_111802(1).mp4","2024/10/24 14:45:08"
"VID_20241023_111802","",".mp4","255.23","","E:\ASUS-KL\Documents\Tencent Files\1915791855\1915791855\FileRecv\MobileFile","E:\ASUS-KL\Documents\Tencent Files\1915791855\1915791855\FileRecv\MobileFile\VID_20241023_111802.mp4","2024/10/24 14:43:04"
"$R7EO58J","",".mp4","255.21","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$R7EO58J.mp4","2026/2/21 13:41:14"
"1 (10)","",".mkv","243.74","","E:\ASUS-KL\视频&音频\1618MYGO","E:\ASUS-KL\视频&音频\1618MYGO\1 (10).mkv","2024/12/24 13:17:04"
"$R32DILN","",".mp4","243.53","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$R32DILN.mp4","2026/3/15 10:00:58"
"VID_20241023_104805","",".mp4","242.84","","E:\ASUS-KL\Documents\Tencent Files\1915791855\FileRecv\MobileFile","E:\ASUS-KL\Documents\Tencent Files\1915791855\FileRecv\MobileFile\VID_20241023_104805.mp4","2024/10/24 14:44:07"
"VID_20241023_104805","",".mp4","242.84","","E:\ASUS-KL\Documents\Tencent Files\1915791855\1915791855\FileRecv\MobileFile","E:\ASUS-KL\Documents\Tencent Files\1915791855\1915791855\FileRecv\MobileFile\VID_20241023_104805.mp4","2024/10/24 14:44:07"
"$R36QJNC","",".mp4","234.77","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$R36QJNC.mp4","2026/2/21 13:47:49"
"MP4_20241023_103848VLOG","",".mp4","230.56","","E:\ASUS-KL\Documents\Tencent Files\1915791855\FileRecv\MobileFile","E:\ASUS-KL\Documents\Tencent Files\1915791855\FileRecv\MobileFile\MP4_20241023_103848VLOG.mp4","2024/10/24 14:43:53"
"MP4_20241023_103848VLOG","",".mp4","230.56","","E:\ASUS-KL\Documents\Tencent Files\1915791855\1915791855\FileRecv\MobileFile","E:\ASUS-KL\Documents\Tencent Files\1915791855\1915791855\FileRecv\MobileFile\MP4_20241023_103848VLOG.mp4","2024/10/24 14:43:53"
"$RBY1V1H","",".mp4","230.43","00:51:26","E:\$RECYCLE.BIN\S-1-5-21-335549654-2052048269-174983366-1001","E:\$RECYCLE.BIN\S-1-5-21-335549654-2052048269-174983366-1001\$RBY1V1H.mp4","2026/4/30 11:20:56"
"$RYTJ3LL","",".mp4","211.56","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$RYTJ3LL.mp4","2026/2/15 20:35:48"
"9da178f8c3114082f08850c7f6db860d_raw","",".mp4","210.7","","E:\ASUS-KL\Documents\xwechat_files\wxid_8g0c5l0t215q22_9144\msg\video\2024-04","E:\ASUS-KL\Documents\xwechat_files\wxid_8g0c5l0t215q22_9144\msg\video\2024-04\9da178f8c3114082f08850c7f6db860d_raw.mp4","2024/4/15 22:43:54"
"a0dced7ddcc48944263dba2169a3c3d0_raw","",".mp4","209.28","","E:\ASUS-KL\Documents\Tencent Files\WeChat Files\wxid_8g0c5l0t215q22\FileStorage\Video\2025-06","E:\ASUS-KL\Documents\Tencent Files\WeChat Files\wxid_8g0c5l0t215q22\FileStorage\Video\2025-06\a0dced7ddcc48944263dba2169a3c3d0_raw.mp4","2025/6/24 8:25:05"
"屏幕录制 2025-06-24 082416","",".mp4","209.1","00:06:11","D:\屏幕录制","D:\屏幕录制\屏幕录制 2025-06-24 082416.mp4","2025/6/24 8:24:16"
"$RX4B4VW","",".mp4","206.92","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$RX4B4VW.mp4","2026/3/13 17:10:30"
"第七讲 DS18B20模块程序设计","",".mp4","206.43","","E:\ASUS-KL\Documents\Tencent Files\1915791855\FileRecv\课程配套资源包\蓝桥杯冲刺培训\第七讲 DS18B20模块程序设计","E:\ASUS-KL\Documents\Tencent Files\1915791855\FileRecv\课程配套资源包\蓝桥杯冲刺培训\第七讲 DS18B20模块程序设计\第七讲 DS18B20模块程序设计.mp4","2023/1/6 20:27:18"
"第七讲 DS18B20模块程序设计","",".mp4","206.43","","E:\ASUS-KL\Documents\Tencent Files\1915791855\1915791855\FileRecv\课程配套资源包\蓝桥杯冲刺培训\第七讲 DS18B20模块程序设计","E:\ASUS-KL\Documents\Tencent Files\1915791855\1915791855\FileRecv\课程配套资源包\蓝桥杯冲刺培训\第七讲 DS18B20模块程序设计\第七讲 DS18B20模块程序设计.mp4","2023/1/6 20:27:18"
"第零讲 基于定时器的时钟程序设计","",".mp4","203.36","","E:\ASUS-KL\Documents\Tencent Files\1915791855\FileRecv\课程配套资源包\蓝桥杯冲刺培训\第五讲 DS1302模块程序设计","E:\ASUS-KL\Documents\Tencent Files\1915791855\FileRecv\课程配套资源包\蓝桥杯冲刺培训\第五讲 DS1302模块程序设计\第零讲 基于定时器的时钟程序设计.mp4","2022/12/23 19:57:06"
"第零讲 基于定时器的时钟程序设计","",".mp4","203.36","","E:\ASUS-KL\Documents\Tencent Files\1915791855\1915791855\FileRecv\课程配套资源包\蓝桥杯冲刺培训\第五讲 DS1302模块程序设计","E:\ASUS-KL\Documents\Tencent Files\1915791855\1915791855\FileRecv\课程配套资源包\蓝桥杯冲刺培训\第五讲 DS1302模块程序设计\第零讲 基于定时器的时钟程序设计.mp4","2022/12/23 19:57:06"
"$ROD6W54","",".mp4","198.96","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$ROD6W54.mp4","2026/2/21 13:28:10"
"$RL4TRSB","",".mp4","190.66","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$RL4TRSB.mp4","2026/3/13 16:20:41"
"$RGIYGU7","",".mp4","182.12","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$RGIYGU7.mp4","2026/2/21 13:10:42"
"VID_20241020_114559","",".mp4","177.94","","E:\ASUS-KL\Documents\Tencent Files\1915791855\FileRecv\MobileFile","E:\ASUS-KL\Documents\Tencent Files\1915791855\FileRecv\MobileFile\VID_20241020_114559.mp4","2024/10/20 11:46:40"
"VID_20241020_114559","",".mp4","177.94","","E:\ASUS-KL\Documents\Tencent Files\1915791855\1915791855\FileRecv\MobileFile","E:\ASUS-KL\Documents\Tencent Files\1915791855\1915791855\FileRecv\MobileFile\VID_20241020_114559.mp4","2024/10/20 11:46:40"
"$RE2JCMW","",".mp4","172.66","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$RE2JCMW.mp4","2026/3/15 9:23:26"
"屏幕录制 2026-05-19 091940","",".mp4","166.87","00:02:37","D:\屏幕录制","D:\屏幕录制\屏幕录制 2026-05-19 091940.mp4","2026/5/19 9:19:40"
"$RZ407CW","",".mp4","160.83","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$RZ407CW.mp4","2026/3/4 20:58:33"
"$R4DZNFQ","",".mp4","160.82","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$R4DZNFQ.mp4","2026/2/28 7:47:41"
"屏幕录制 2025-10-12 174539","",".mp4","159","00:02:29","D:\屏幕录制","D:\屏幕录制\屏幕录制 2025-10-12 174539.mp4","2025/10/12 17:45:39"
"第零讲 基于定时器的倒计时程序设计","",".mp4","156.49","","E:\ASUS-KL\Documents\Tencent Files\1915791855\FileRecv\课程配套资源包\蓝桥杯冲刺培训\第五讲 DS1302模块程序设计","E:\ASUS-KL\Documents\Tencent Files\1915791855\FileRecv\课程配套资源包\蓝桥杯冲刺培训\第五讲 DS1302模块程序设计\第零讲 基于定时器的倒计时程序设计.mp4","2022/12/23 19:55:46"
"第零讲 基于定时器的倒计时程序设计","",".mp4","156.49","","E:\ASUS-KL\Documents\Tencent Files\1915791855\1915791855\FileRecv\课程配套资源包\蓝桥杯冲刺培训\第五讲 DS1302模块程序设计","E:\ASUS-KL\Documents\Tencent Files\1915791855\1915791855\FileRecv\课程配套资源包\蓝桥杯冲刺培训\第五讲 DS1302模块程序设计\第零讲 基于定时器的倒计时程序设计.mp4","2022/12/23 19:55:46"
"$R6WS0R3","",".mp4","146.74","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$R6WS0R3.mp4","2026/2/15 11:32:13"
"$RDP80UY","",".mp4","141.16","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$RDP80UY.mp4","2026/3/4 21:02:30"
"$RTLL65E","",".mp4","139.25","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$RTLL65E.mp4","2026/3/15 9:38:53"
"屏幕录制 2026-03-19 162131","",".mp4","138.81","00:02:18","D:\屏幕录制","D:\屏幕录制\屏幕录制 2026-03-19 162131.mp4","2026/3/19 16:21:31"
"$RCFKYVX","",".mp4","137.31","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$RCFKYVX.mp4","2026/3/15 10:09:05"
"$RRTNWYS","",".mp4","136.67","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$RRTNWYS.mp4","2026/2/28 21:36:35"
"屏幕录制 2026-02-13 131054","",".mp4","136.53","00:02:08","D:\屏幕录制","D:\屏幕录制\屏幕录制 2026-02-13 131054.mp4","2026/2/13 13:10:54"
"屏幕录制 2026-02-13 130722","",".mp4","132.92","00:02:05","D:\屏幕录制","D:\屏幕录制\屏幕录制 2026-02-13 130722.mp4","2026/2/13 13:07:22"
"f738b21137ae6e6456fdccf6d1f9fb46","",".mp4","127.49","","E:\ASUS-KL\Documents\xwechat_files\wxid_8g0c5l0t215q22_9144\msg\video\2026-01","E:\ASUS-KL\Documents\xwechat_files\wxid_8g0c5l0t215q22_9144\msg\video\2026-01\f738b21137ae6e6456fdccf6d1f9fb46.mp4","2026/1/30 21:03:00"
"屏幕录制 2025-06-27 203140","",".mp4","111.77","00:01:45","D:\屏幕录制","D:\屏幕录制\屏幕录制 2025-06-27 203140.mp4","2025/6/27 20:31:40"
"$RZGJW7V","",".mp4","111.48","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$RZGJW7V.mp4","2026/2/21 13:55:32"
"$RVP6J73","",".mp4","111.22","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$RVP6J73.mp4","2026/3/13 15:58:26"
"屏幕录制 2026-03-19 161803","",".mp4","111.17","00:01:51","D:\屏幕录制","D:\屏幕录制\屏幕录制 2026-03-19 161803.mp4","2026/3/19 16:18:03"
"$R7INMDU","",".mp4","110.23","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$R7INMDU.mp4","2026/2/28 21:34:48"
"$RQW3O3I","",".mp4","108.41","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$RQW3O3I.mp4","2026/2/21 11:08:46"
"第八讲 PCF8591模块","",".mp4","104.13","","E:\ASUS-KL\Documents\Tencent Files\1915791855\FileRecv\课程配套资源包\蓝桥杯冲刺培训\第八讲 PCF8591模块","E:\ASUS-KL\Documents\Tencent Files\1915791855\FileRecv\课程配套资源包\蓝桥杯冲刺培训\第八讲 PCF8591模块\第八讲 PCF8591模块.mp4","2023/1/8 19:53:48"
"第八讲 PCF8591模块","",".mp4","104.13","","E:\ASUS-KL\Documents\Tencent Files\1915791855\1915791855\FileRecv\课程配套资源包\蓝桥杯冲刺培训\第八讲 PCF8591模块","E:\ASUS-KL\Documents\Tencent Files\1915791855\1915791855\FileRecv\课程配套资源包\蓝桥杯冲刺培训\第八讲 PCF8591模块\第八讲 PCF8591模块.mp4","2023/1/8 19:53:48"
"第九讲 PCF8591模块程序设计","",".mp4","100.48","","E:\ASUS-KL\Documents\Tencent Files\1915791855\FileRecv\课程配套资源包\蓝桥杯冲刺培训\第九讲 PCF8591模块程序设计","E:\ASUS-KL\Documents\Tencent Files\1915791855\FileRecv\课程配套资源包\蓝桥杯冲刺培训\第九讲 PCF8591模块程序设计\第九讲 PCF8591模块程序设计.mp4","2023/1/13 19:36:42"
"第九讲 PCF8591模块程序设计","",".mp4","100.48","","E:\ASUS-KL\Documents\Tencent Files\1915791855\1915791855\FileRecv\课程配套资源包\蓝桥杯冲刺培训\第九讲 PCF8591模块程序设计","E:\ASUS-KL\Documents\Tencent Files\1915791855\1915791855\FileRecv\课程配套资源包\蓝桥杯冲刺培训\第九讲 PCF8591模块程序设计\第九讲 PCF8591模块程序设计.mp4","2023/1/13 19:36:42"
"屏幕录制 2026-03-08 144133","",".mp4","99.76","00:01:44","D:\屏幕录制","D:\屏幕录制\屏幕录制 2026-03-08 144133.mp4","2026/3/8 14:41:33"
"屏幕录制 2025-06-27 100008","",".mp4","98.63","00:01:38","D:\屏幕录制","D:\屏幕录制\屏幕录制 2025-06-27 100008.mp4","2025/6/27 10:00:08"
"fa032ca8183b18f72320b4983f59717f","",".mp4","98.06","","E:\ASUS-KL\Documents\xwechat_files\wxid_8g0c5l0t215q22_9144\msg\video\2025-04","E:\ASUS-KL\Documents\xwechat_files\wxid_8g0c5l0t215q22_9144\msg\video\2025-04\fa032ca8183b18f72320b4983f59717f.mp4","2025/4/1 22:53:46"
"5499fda1911c52a9ef3b2abf9714f831","",".mp4","96.93","","E:\ASUS-KL\Documents\xwechat_files\wxid_8g0c5l0t215q22_9144\msg\video\2024-06","E:\ASUS-KL\Documents\xwechat_files\wxid_8g0c5l0t215q22_9144\msg\video\2024-06\5499fda1911c52a9ef3b2abf9714f831.mp4","2024/6/22 19:37:40"
"附件7.1.1","",".mp4","96.93","00:10:49","C:\Users\ASUS-KL\OneDrive\电子文档\大三上学期\劳动时长","C:\Users\ASUS-KL\OneDrive\电子文档\大三上学期\劳动时长\附件7.1.1.mp4","2024/6/22 19:37:40"
"屏幕录制 2026-02-13 130451","",".mp4","92.33","00:01:34","D:\屏幕录制","D:\屏幕录制\屏幕录制 2026-02-13 130451.mp4","2026/2/13 13:04:51"
"0D719F92D3E1B5CFAD28B5FE2799C31F","",".mp4","82.67","","E:\ASUS-KL\Documents\Tencent Files\1915791855\Video","E:\ASUS-KL\Documents\Tencent Files\1915791855\Video\0D719F92D3E1B5CFAD28B5FE2799C31F.mp4","2022/7/21 14:37:53"
"$R771XC3","",".mp4","80.22","","D:\hui'f\额外找到的文件\$$$文件夹2686978","D:\hui'f\额外找到的文件\$$$文件夹2686978\$R771XC3.mp4","2026/2/15 10:33:52"
"第十讲 AT24C02模块","",".mp4","77.6","","E:\ASUS-KL\Documents\Tencent Files\1915791855\1915791855\FileRecv\课程配套资源包\蓝桥杯冲刺培训\第九讲 PCF8591模块程序设计","E:\ASUS-KL\Documents\Tencent Files\1915791855\1915791855\FileRecv\课程配套资源包\蓝桥杯冲刺培训\第九讲 PCF8591模块程序设计\第十讲 AT24C02模块.mp4","2023/1/15 19:36:14"
"第十讲 AT24C02模块","",".mp4","77.6","","E:\ASUS-KL\Documents\Tencent Files\1915791855\FileRecv\课程配套资源包\蓝桥杯冲刺培训\第九讲 PCF8591模块程序设计","E:\ASUS-KL\Documents\Tencent Files\1915791855\FileRecv\课程配套资源包\蓝桥杯冲刺培训\第九讲 PCF8591模块程序设计\第十讲 AT24C02模块.mp4","2023/1/15 19:36:14"
"元の亂舞！","",".mp4","72.37","","D:\hui'f\额外找到的文件\$$$文件夹2686978\$ROT7T9J\文件之前的\微机实验\我的","D:\hui'f\额外找到的文件\$$$文件夹2686978\$ROT7T9J\文件之前的\微机实验\我的\元の亂舞！.mp4","2021/2/26 22:41:32"
"屏幕录制 2025-06-28 223255","",".mp4","71.45","00:01:07","D:\屏幕录制","D:\屏幕录制\屏幕录制 2025-06-28 223255.mp4","2025/6/28 22:32:55"
"e132fe3c2ab938a8ce5f9241d59d514a","",".mp4","71.29","","E:\ASUS-KL\Documents\xwechat_files\wxid_8g0c5l0t215q22_9144\msg\video\2026-02","E:\ASUS-KL\Documents\xwechat_files\wxid_8g0c5l0t215q22_9144\msg\video\2026-02\e132fe3c2ab938a8ce5f9241d59d514a.mp4","2026/2/2 21:14:26"
